operation_id,variant_name,asset_path,graph_name,node_candidate,variant_mode,requested_variant_count,available_spawn_count,actual_spawn_count,required_variant_count,setup_status,preview_status,execute_status,readback_status,failure_kind,expected_readback
"generic_ops.control.gate","GWGen_generic_ops_control_gate_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_gate","EG_GraphWriteGenerality_generic_ops_control_gate","generic_ops.control.gate","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_gate"
"generic_ops.control.multi_gate","GWGen_generic_ops_control_multi_gate_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_multi_gate","EG_GraphWriteGenerality_generic_ops_control_multi_gate","generic_ops.control.multi_gate","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_multi_gate"
"generic_ops.control.return","GWGen_generic_ops_control_return_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_return","EG_GraphWriteGenerality_generic_ops_control_return","generic_ops.control.return","singleton_1","1","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_return"
"generic_ops.control.sequence","GWGen_generic_ops_control_sequence_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_sequence","EG_GraphWriteGenerality_generic_ops_control_sequence","generic_ops.control.sequence","singleton_1","1","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_sequence"
"generic_ops.control.switch_enum","GWGen_generic_ops_control_switch_enum_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_switch_enum","EG_GraphWriteGenerality_generic_ops_control_switch_enum","generic_ops.control.switch_enum","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_switch_enum"
"generic_ops.control.switch_int","GWGen_generic_ops_control_switch_int_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_switch_int","EG_GraphWriteGenerality_generic_ops_control_switch_int","generic_ops.control.switch_int","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_switch_int"
"generic_ops.control.switch_name","GWGen_generic_ops_control_switch_name_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_switch_name","EG_GraphWriteGenerality_generic_ops_control_switch_name","generic_ops.control.switch_name","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_switch_name"
"generic_ops.control.switch_string","GWGen_generic_ops_control_switch_string_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_switch_string","EG_GraphWriteGenerality_generic_ops_control_switch_string","generic_ops.control.switch_string","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_switch_string"
"generic_ops.control.while_loop","GWGen_generic_ops_control_while_loop_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_while_loop","EG_GraphWriteGenerality_generic_ops_control_while_loop","generic_ops.control.while_loop","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_while_loop"
"generic_ops.struct_select.select","GWGen_generic_ops_struct_select_select_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_struct_select_select","EG_GraphWriteGenerality_generic_ops_struct_select_select","generic_ops.struct_select.select","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_struct_select_select"
"schedule.latent_or_async_node","GWGen_schedule_latent_or_async_node_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_schedule_latent_or_async_node","EG_GraphWriteGenerality_schedule_latent_or_async_node","schedule.latent_or_async_node","limited_real_nodes","10","1","0","1","pass","fail","skipped","skipped","missing_evidence","EG_GraphWriteGenerality_schedule_latent_or_async_node"
"schedule.timer_delegate_node","GWGen_schedule_timer_delegate_node_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_schedule_timer_delegate_node","EG_GraphWriteGenerality_schedule_timer_delegate_node","schedule.timer_delegate_node","limited_real_nodes","10","1","0","1","pass","fail","skipped","skipped","missing_evidence","EG_GraphWriteGenerality_schedule_timer_delegate_node"
